Linkki,Nimi,Lajittelu,,Note,Vuosi,Sesonki,extags,syntags,annoksia,reseptitiedosto
https://www.hs.fi/ruoka/reseptit/art-2000009009291.html?share=a296c56b04df48564c74f0fa04afd7ca,Kiinankaali-tahininuudelit,Pääruoka ,,"hyvä, kaipaa enemmän kaalia ja papuja suhteessa nuudeleihin",2022,,pasta,,,testi123.yml
https://liemessa.fi/2020/03/kikherne-limonello/,Kikhernelimonellopasta,Pääruoka,,"Nopea, kannattaa tuunata esim. tuoreilla yrteillä",2022,,"pasta, pavut",,,testi123.yml
https://www.k-ruoka.fi/reseptit/klementiinikana,Klementiinikana,Pääruoka,,"Käytä inspiraationa, toimisi paremmin jos kanat marinoitaisiin",2022,,kana,,,testi123.yml
https://www.k-ruoka.fi/reseptit/korianteripesto,Korianteripesto,Lisuke,,,???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/kukkakaaliwingsit,Kukkakaalisiivet,Snack,,,???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/kurkku-limettilohi,Kurkku-limettilohi,Pääruoka,,,???,,"kala, uuni",,,testi123.yml
https://www.hs.fi/paivanlehti/30092021/art-2000008260485.html,Kurpitsarisotto,Pääruoka,Lisuke,,2021,,riisi,,,testi123.yml
https://www.k-ruoka.fi/reseptit/ajo-blanco-eli-kylma-mantelikeitto,Kylmä mantelikeitto,Alkuruoka,,,???,,,,,testi123.yml
https://www.fazer.fi/tuotteet-ja-asiakaspalvelu/tuotemerkit/fazer-lakritsi/lakritsijuustokakku---voiko-enaa-maukkaampaa-olla/,Lakritsijuustokakku,Jälkiruoka,Kahvi,"Toimiva, lakritsin sulattaminen hankalaa",???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/lammin-porkkana-kikhernesalaatti,Lämmin porkkana-kikherne salaatti,Lisuke,Pääruoka,Lisukkeena tai lounaana hyvä,2020,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/lehtikaali-kananmunapasta,Lehtikaalikananmunapasta,Pääruoka,,"Nopee, mutta paljon tiskattavaa",2020,,pasta,,,testi123.yml
https://www.k-ruoka.fi/reseptit/lehtikaalipyttipannu,Lehtikaalipyttipannu,Pääruoka,,"Nopee, hyvä, helposti skaalautuva",2019,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/maapahkinavoi-porkkanakeitto,Maapähkinävoi porkkanakeitto,Pääruoka,Alkuruoka,"Todella hyvä, voi hyvin lisäillä esim. perunaa/bataattia ",2020,,keitto,,,testi123.yml
https://www.k-ruoka.fi/reseptit/marokkolainen-grillijuustosalaatti,Marokkolainen grillijuustosalaatti,Pääruoka,,"Toimiva, ei kulhoruoka",???,,salaatti,,,testi123.yml
https://www.k-ruoka.fi/reseptit/marokkolainen-jauhelihapata,marokkolainen jauhelihapata,Pääruoka,,"paljon pilkkomista, mutta sen arvoista. jauhelihan voi korvaa esim. kikherneillä tai jauhelihakorvikkeella",2022,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/mokkapalakakku,Mokkapalakakku,Jälkiruoka,Kahvi,,???,,,,,testi123.yml
samasta padasta kirja ,mustapapupyörykät,pääruoka,,kaveriksi ruskeakastike,2022,"2prk mustapapua, 3kananmunaa, sipuli, 2,5dl korppujauhoja, 100g mantelirouhetta. ",soseuta sipuli ja mustapavut. lisää kananmunat ja sekoita. lopuksi sekoita joukkoon korppujauhot ja mantelirouhe. muotoile pyörykät (20-30kpl) ja paista pannulla n. 10min,,,testi123.yml
https://www.k-ruoka.fi/reseptit/mustikkamuffinit,Mustikkamuffinit,Kahvi,,Nopea ja mehevä! 175C + 25min kiertoilmalla juuri sopiva. 11kpl,2022,,,,,testi123.yml
https://www.bbcgoodfood.com/recipes/2271/noodle-bowl-salad,Nuudelisalaatti,Pääruoka,,,???,,pasta,,,testi123.yml
https://www.k-ruoka.fi/reseptit/nyhtokaurapyorykka-kukkakaalipannu,Nyhtökaurapyörykkä kukkakaalipannu,Pääruoka,,,???,,,,,testi123.yml
https://www.melaniecooks.com/oatmeal-raisin-mug-cake/14061/,oatmeal raisin mug cake,jälkiruoka,,"liian iso mukiin. 1dl kauraa, hunajaa puolet reseptin määrästä",2021,,,,,testi123.yml
